"longitude","latitude","cluster","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
-122.130484,47.9158,4,103,165,45,1143,158,34,43,464,136,136,419,94,41,4779,234,7,227,48,165
-123.089477,53.968273,1,32,139,-85,584,60,25,22,179,95,179,146,124,32,8724,226,-157,383,139,-12
-122.37429,47.556007,4,108,171,50,982,153,21,58,451,88,88,409,86,38,4857,236,13,223,54,171
-120.015169,38.702908,2,47,129,-21,1117,191,13,70,528,58,63,523,134,44,6099,221,-83,304,-11,128
-122.263412,47.797561,4,106,168,50,988,145,26,49,426,108,108,387,83,38,4722,231,14,217,54,168
-113.467787,47.295766,2,27,127,-68,609,67,36,22,184,121,143,176,141,38,7610,237,-133,370,-60,121
-126.655175,54.390914,1,21,122,-87,510,56,19,27,161,77,143,141,111,30,8157,202,-158,360,-28,20
-121.788852,41.331274,2,78,163,0,783,119,8,61,348,49,50,334,161,46,6461,280,-69,349,6,162
-120.218205,39.134039,2,54,136,-16,1096,194,12,72,528,52,57,528,139,44,6144,236,-77,313,-16,135
-120.471671,46.588799,2,94,195,-6,215,34,6,48,94,26,31,85,138,38,7803,297,-61,358,-2,189
-123.003944,44.893913,4,110,178,47,1170,200,13,66,567,70,75,532,123,45,5195,274,3,271,50,177
-117.548282,47.902225,1,80,185,-22,492,69,19,38,196,65,78,176,122,34,8063,287,-69,356,-16,179
-114.309492,49.239197,2,8,106,-87,687,83,43,19,211,153,182,172,126,34,7603,203,-158,361,42,69
-121.284713,40.537797,2,56,141,-17,861,126,10,58,366,59,62,354,149,44,6327,253,-81,334,-8,140
-121.232708,48.567558,2,44,127,-35,1537,250,40,58,721,142,142,656,97,34,6413,205,-75,280,-29,127
-121.517684,40.557503,2,64,145,-6,1057,155,9,61,459,64,64,437,146,45,6117,254,-68,322,2,145
-121.794495,45.188309,4,55,130,-9,2043,334,26,61,948,144,151,896,98,38,5528,208,-48,256,-4,128
-120.017014,51.869567,1,42,146,-67,639,68,34,18,190,118,177,176,113,30,8324,235,-135,370,-59,-1
-122.133062,43.157494,4,38,119,-28,1365,232,18,66,663,87,87,612,132,44,5886,222,-78,300,-21,119
-124.085066,49.239179,4,90,159,29,1315,216,34,58,603,117,117,554,78,34,5207,222,-3,225,34,159
